run_id,model_label,model,family,size_bucket,reasoning_tuned,group,dataset_version,pred_source,num_tasks,num_failures,parse_success_count,repair_hit_count,repair_hit_rate,parse_success_rate,parse_success_ci_low,parse_success_ci_high,transport_failure_rate,conditional_validity_rate,conditional_validity_ci_low,conditional_validity_ci_high,conditional_trace_grounding_rate,validity_rate,parsed_expected_valid_tasks,direct_precision,direct_recall,direct_f1,direct_f1_ci_low,direct_f1_ci_high,closure_precision,closure_recall,closure_f1,closure_f1_ci_low,closure_f1_ci_high,closure_minus_direct_f1,closure_preservation_rate,ambiguity_abstention_rate,ambiguity_overcommitment_rate,contradiction_detection_rate,contradiction_invalidity_rate,avg_first_violation_step,screening_warning
2026-04-11_133750UTC,DeepSeek R1 7B,deepseek-r1:7b,deepseek,7b,True,lab_baseline,temporal_reasoning_eval,llm,20,5,15,0,0.0,0.75,0.55,0.95,0.0,1.0,1.0,1.0,1.0,0.75,11,0.7916666666666666,0.6333333333333333,0.7037037037037038,0.48780487804878053,0.8571428571428571,0.8775510204081632,0.8958333333333334,0.8865979381443299,0.6122448979591836,1.0,0.18289423444062602,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.0,0.0,,True
2026-04-11_134155UTC,Qwen 3.5 9B,qwen3.5:9b,qwen,9b,False,lab_baseline,temporal_reasoning_eval,llm,20,2,18,0,0.0,0.9,0.75,1.0,0.0,0.7222222222222222,0.5,0.8888888888888888,0.7777777777777778,0.65,14,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.6071428571428571,0.8928571428571429,0.9473684210526315,0.9230769230769231,0.935064935064935,0.8108108108108107,1.0,0.1703590527119938,0.8571428571428571,0.5,0.5,1.0,1.0,1.8,True
2026-04-11_140319UTC,Llama 3.1 8B,llama3.1:8b,llama,8b,False,lab_baseline,temporal_reasoning_eval,llm,20,0,20,0,0.0,1.0,1.0,1.0,0.0,0.75,0.55,0.95,0.95,0.75,16,0.5135135135135135,0.475,0.4935064935064935,0.23333333333333334,0.6909090909090908,0.7164179104477612,0.8,0.7559055118110236,0.40540540540540543,0.9209302325581394,0.2623990183045301,0.4375,0.0,1.0,1.0,1.0,1,True
2026-04-11_140512UTC,Mistral 7B,mistral:7b,mistral,7b,False,lab_candidate,temporal_reasoning_eval,llm,20,1,19,0,0.0,0.95,0.85,1.0,0.0,0.6842105263157895,0.47368421052631576,0.8947368421052632,0.7894736842105263,0.65,15,0.5652173913043478,0.325,0.4126984126984127,0.21212121212121215,0.5862068965517241,0.7,0.35,0.4666666666666667,0.20370370370370372,0.7407407407407408,0.053968253968254,0.26666666666666666,0.0,1.0,0.75,0.75,1,True
2026-04-11_140642UTC,Gemma 3 12B,gemma3:12b,gemma,12b,False,lab_candidate,temporal_reasoning_eval,llm,20,0,20,0,0.0,1.0,1.0,1.0,0.0,0.95,0.85,1.0,0.95,0.95,16,0.8387096774193549,0.65,0.7323943661971831,0.5945945945945946,0.8641975308641975,0.9193548387096774,0.95,0.9344262295081968,0.7941176470588236,0.9949748743718593,0.20203186331101364,0.75,0.6,0.4,0.0,0.0,3,True
