run_id,model_label,category,num_tasks,num_parsed,num_failures,expected_valid_parsed_tasks,gold_bearing_parsed_tasks,parse_success_rate,conditional_validity_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,invalidity_rate,trace_grounding_rate,direct_f1,closure_f1,closure_preservation_rate,abstention_rate,overcommitment_rate,contradiction_detection_rate,avg_first_violation_step,analysis_focus
2026-04-20_193003UTC,DeepSeek R1 7B,tempeval_relation,496,433,63,433,433,0.8729838709677419,0.48267898383371827,0.48267898383371827,0.4213709677419355,0.5173210161662818,0.45958429561200925,0.20138888888888892,0.22857142857142856,0.24249422632794457,0.004618937644341801,0.0,0.0023094688221709007,0.042735042735042736,fidelity
2026-04-20_205047UTC,Qwen 3.5 9B,tempeval_relation,496,394,102,394,394,0.7943548387096774,0.5355329949238579,0.5355329949238579,0.4254032258064516,0.46446700507614214,0.5355329949238579,0.31218274111675126,0.3968,0.4467005076142132,0.0025380710659898475,0.0,0.0,0.1092896174863388,fidelity
2026-04-21_074248UTC,Llama 3.1 8B,tempeval_relation,496,496,0,496,496,1.0,0.8165322580645161,0.8165322580645161,0.8165322580645161,0.18346774193548387,0.8165322580645161,0.2600806451612903,0.30500582072176946,0.3024193548387097,0.0,0.0,0.0,0,fidelity
2026-04-21_080222UTC,Mistral 7B,tempeval_relation,496,495,1,495,495,0.9979838709677419,0.8646464646464647,0.8646464646464647,0.8629032258064516,0.13535353535353536,0.8949494949494949,0.2287655719139298,0.40414507772020725,0.3838383838383838,0.21616161616161617,0.0,0.00404040404040404,0.1896551724137931,fidelity
2026-04-21_081944UTC,Gemma 3 12B,tempeval_relation,496,496,0,496,496,1.0,0.9979838709677419,0.9979838709677419,0.9979838709677419,0.0020161290322580645,0.9979838709677419,0.35066258919469934,0.6024915062287657,0.5443548387096774,0.02217741935483871,0.0,0.0,0,fidelity
