run_id,model_label,model,family,size_bucket,reasoning_tuned,group,dataset_version,pred_source,num_tasks,num_failures,parse_success_count,repair_hit_count,repair_hit_rate,parse_success_rate,parse_success_ci_low,parse_success_ci_high,transport_failure_rate,conditional_validity_rate,conditional_validity_ci_low,conditional_validity_ci_high,conditional_trace_grounding_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,validity_rate,parsed_expected_valid_tasks,parsed_gold_bearing_tasks,direct_precision,direct_recall,direct_f1,direct_f1_ci_low,direct_f1_ci_high,direct_e2e_precision,direct_e2e_recall,direct_e2e_f1,direct_e2e_complete,closure_precision,closure_recall,closure_f1,closure_f1_ci_low,closure_f1_ci_high,closure_minus_direct_f1,closure_e2e_precision,closure_e2e_recall,closure_e2e_f1,closure_e2e_complete,fidelity_direct_precision,fidelity_direct_recall,fidelity_direct_f1,fidelity_direct_f1_ci_low,fidelity_direct_f1_ci_high,fidelity_closure_precision,fidelity_closure_recall,fidelity_closure_f1,fidelity_closure_f1_ci_low,fidelity_closure_f1_ci_high,fidelity_closure_gap,closure_coverage,fidelity_closure_f1_committed,fidelity_closure_f1_full,closure_preservation_rate,ambiguity_abstention_rate,ambiguity_overcommitment_rate,contradiction_detection_rate,contradiction_detection_rate_e2e,contradiction_invalidity_rate,ltl_genuine_violation_rate,ltl_invariant_corroboration_rate,avg_first_violation_step,screening_warning
deepseek-r1-7b_2026-05-10_201915UTC,DeepSeek R1 7B,deepseek-r1:7b,deepseek,7b,True,lab_baseline,tempeval_eval,llm,496,98,398,1,0.0020161290322580645,0.8024193548387096,0.7661290322580645,0.8346774193548387,0.0,0.8592964824120602,0.8266331658291457,0.8894472361809045,0.864321608040201,0.8592964824120602,0.6895161290322581,0.6895161290322581,398,398,0.4623115577889447,0.4623115577889447,0.4623115577889447,0.40954773869346733,0.5125628140703518,0.4623115577889447,0.3709677419354839,0.4116331096196868,True,0.4697802197802198,0.5277777777777778,0.49709302325581395,0.44279346210995546,0.5491329479768786,0.03478146546686922,0.4697802197802198,0.4296482412060301,0.4488188976377952,True,0.4623115577889447,0.4623115577889447,0.4623115577889447,0.40954773869346733,0.5125628140703518,0.4697802197802198,0.5277777777777778,0.49709302325581395,0.44279346210995546,0.5491329479768786,0.03478146546686922,0.9506172839506173,0.5551948051948052,0.49709302325581395,0.4748743718592965,,,,,,0.08793969849246232,0.05527638190954774,0.6071428571428571,False
qwen3-5-9b_2026-05-10_213450UTC,Qwen 3.5 9B,qwen3.5:9b,qwen,9b,False,lab_baseline,tempeval_eval,llm,496,79,417,11,0.02217741935483871,0.8407258064516129,0.8104838709677419,0.8709677419354839,0.008064516129032258,0.9712230215827338,0.9544364508393285,0.9856115107913669,0.9976019184652278,0.9712230215827338,0.8165322580645161,0.8165322580645161,417,417,0.8009592326139089,0.8009592326139089,0.8009592326139089,0.762589928057554,0.8369304556354916,0.8009592326139089,0.6733870967741935,0.7316538882803943,True,0.875,0.835820895522388,0.8549618320610687,0.8217522658610272,0.8878787878787878,0.054002599447159794,0.875,0.7035175879396985,0.7799442896935934,True,0.8009592326139089,0.8009592326139089,0.8009592326139089,0.762589928057554,0.8369304556354916,0.875,0.835820895522388,0.8549618320610687,0.8217522658610272,0.8878787878787878,0.054002599447159794,0.8865671641791045,0.9427609427609428,0.8549618320610687,0.8129496402877698,,,,,,0.02877697841726619,0.0,3.230769230769231,False
llama3-1-8b_2026-05-11_093924UTC,Llama 3.1 8B,llama3.1:8b,llama,8b,False,lab_baseline,tempeval_eval,llm,496,0,496,0,0.0,1.0,1.0,1.0,0.0,0.9919354838709677,0.9838709677419355,0.9979838709677419,0.9919354838709677,0.9919354838709677,0.9919354838709677,0.9919354838709677,496,496,0.36088709677419356,0.36088709677419356,0.3608870967741936,0.32056451612903225,0.39717741935483863,0.36088709677419356,0.36088709677419356,0.3608870967741936,True,0.35268817204301073,0.4120603015075377,0.3800695249130938,0.33410672853828305,0.4192037470725995,0.0191824281389002,0.35268817204301073,0.4120603015075377,0.3800695249130938,True,0.36088709677419356,0.36088709677419356,0.3608870967741936,0.32056451612903225,0.39717741935483863,0.35268817204301073,0.4120603015075377,0.3800695249130938,0.33410672853828305,0.4192037470725995,0.0191824281389002,0.964824120603015,0.4270833333333333,0.3800695249130938,0.3649193548387097,,,,,,0.0,0.008064516129032258,0,False
mistral-7b_2026-05-11_095644UTC,Mistral 7B,mistral:7b,mistral,7b,False,lab_candidate,tempeval_eval,llm,496,0,496,0,0.0,1.0,1.0,1.0,0.0,0.8004032258064516,0.7641129032258065,0.8366935483870968,0.9818548387096774,0.8004032258064516,0.8004032258064516,0.8004032258064516,496,496,0.4701834862385321,0.41330645161290325,0.4399141630901288,0.39914163090128757,0.48614072494669514,0.4701834862385321,0.41330645161290325,0.4399141630901288,True,0.4669811320754717,0.49748743718592964,0.4817518248175182,0.4380264741275572,0.5306122448979592,0.0418376617273894,0.4669811320754717,0.49748743718592964,0.4817518248175182,True,0.4701834862385321,0.41330645161290325,0.4399141630901288,0.39914163090128757,0.48614072494669514,0.4669811320754717,0.49748743718592964,0.4817518248175182,0.4380264741275572,0.5306122448979592,0.0418376617273894,0.871859296482412,0.5706051873198847,0.4817518248175182,0.4415322580645161,,,,,,0.1875,0.012096774193548387,0.9595959595959596,False
gemma3-12b_2026-05-11_101551UTC,Gemma 3 12B,gemma3:12b,gemma,12b,False,lab_candidate,tempeval_eval,llm,496,0,496,0,0.0,1.0,1.0,1.0,0.0,0.9979838709677419,0.9939516129032258,1.0,0.9979838709677419,0.9979838709677419,0.9979838709677419,0.9979838709677419,496,496,0.5512295081967213,0.5423387096774194,0.5467479674796748,0.5015290519877674,0.59026369168357,0.5512295081967213,0.5423387096774194,0.5467479674796748,True,0.5512295081967213,0.6758793969849246,0.6072234762979684,0.5613636363636363,0.6486486486486487,0.060475508818293555,0.5512295081967213,0.6758793969849246,0.6072234762979684,True,0.5512295081967213,0.5423387096774194,0.5467479674796748,0.5015290519877674,0.59026369168357,0.5512295081967213,0.6758793969849246,0.6072234762979684,0.5613636363636363,0.6486486486486487,0.060475508818293555,0.9874371859296482,0.6844783715012722,0.6072234762979684,0.5483870967741935,,,,,,0.0,0.0020161290322580645,0,False
