run_id,model_label,category,num_tasks,num_parsed,num_failures,expected_valid_parsed_tasks,gold_bearing_parsed_tasks,parse_success_rate,conditional_validity_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,invalidity_rate,trace_grounding_rate,direct_f1,closure_f1,closure_preservation_rate,abstention_rate,overcommitment_rate,contradiction_detection_rate,avg_first_violation_step,analysis_focus
deepseek-r1-7b_2026-05-10_201915UTC,DeepSeek R1 7B,tempeval_relation,496,398,98,398,398,0.8024193548387096,0.8592964824120602,0.8592964824120602,0.6895161290322581,0.1407035175879397,0.864321608040201,0.4623115577889447,0.49709302325581395,0.4748743718592965,0.0,0.0,0.0,0.6071428571428571,fidelity
qwen3-5-9b_2026-05-10_213450UTC,Qwen 3.5 9B,tempeval_relation,496,417,79,417,417,0.8407258064516129,0.9712230215827338,0.9712230215827338,0.8165322580645161,0.02877697841726619,0.9976019184652278,0.8009592326139089,0.8549618320610687,0.8129496402877698,0.0,0.0,0.0,3.230769230769231,fidelity
llama3-1-8b_2026-05-11_093924UTC,Llama 3.1 8B,tempeval_relation,496,496,0,496,496,1.0,0.9919354838709677,0.9919354838709677,0.9919354838709677,0.008064516129032258,0.9919354838709677,0.3608870967741936,0.3800695249130938,0.3649193548387097,0.0,0.0,0.0,0,fidelity
mistral-7b_2026-05-11_095644UTC,Mistral 7B,tempeval_relation,496,496,0,496,496,1.0,0.8004032258064516,0.8004032258064516,0.8004032258064516,0.19959677419354838,0.9818548387096774,0.4399141630901288,0.4817518248175182,0.4415322580645161,0.12096774193548387,0.0,0.004032258064516129,0.9595959595959596,fidelity
gemma3-12b_2026-05-11_101551UTC,Gemma 3 12B,tempeval_relation,496,496,0,496,496,1.0,0.9979838709677419,0.9979838709677419,0.9979838709677419,0.0020161290322580645,0.9979838709677419,0.5467479674796748,0.6072234762979684,0.5483870967741935,0.016129032258064516,0.0,0.0,0,fidelity
