run_id,model_label,difficulty,num_tasks,num_parsed,num_failures,expected_valid_parsed_tasks,gold_bearing_parsed_tasks,parse_success_rate,conditional_validity_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,invalidity_rate,trace_grounding_rate,direct_f1,closure_f1,closure_preservation_rate,abstention_rate,overcommitment_rate,contradiction_detection_rate,avg_first_violation_step,analysis_focus
deepseek-r1-7b_2026-05-11_210823UTC,DeepSeek R1 7B,low_complexity,500,468,32,468,468,0.936,0.9658119658119658,0.9658119658119658,0.904,0.03418803418803419,0.9658119658119658,0.44919786096256686,0.49375866851595,0.452991452991453,0.002136752136752137,0.0,0.0,0.25,fidelity
qwen3-5-9b_2026-05-11_234717UTC,Qwen 3.5 9B,low_complexity,500,371,129,371,371,0.742,0.9838274932614556,0.9838274932614556,0.73,0.016172506738544475,1.0,0.796221322537112,0.8223552894211577,0.8059299191374663,0.0026954177897574125,0.0,0.0,3,fidelity
llama3-1-8b_2026-05-12_174820UTC,Llama 3.1 8B,low_complexity,500,499,1,499,499,0.998,0.9979959919839679,0.9979959919839679,0.996,0.002004008016032064,0.9979959919839679,0.3350050150451354,0.3794037940379404,0.3847695390781563,0.002004008016032064,0.0,0.0,0,fidelity
mistral-7b_2026-05-12_182052UTC,Mistral 7B,low_complexity,500,499,1,499,499,0.998,0.4228456913827655,0.4228456913827655,0.422,0.5771543086172345,0.9859719438877755,0.5166846071044133,0.6170212765957448,0.531062124248497,0.13827655310621242,0.0,0.0,0.9965277777777778,fidelity
gemma3-12b_2026-05-12_185525UTC,Gemma 3 12B,low_complexity,500,500,0,500,500,1.0,1.0,1.0,1.0,0.0,1.0,0.5476923076923077,0.6414141414141414,0.568,0.05,0.0,0.0,,fidelity
