model_label,dataset,signal,description,n,spearman_rho,spearman_p,point_biserial_r,point_biserial_p
Gemma 3 12B,TempEval-3,first_violation_step,Step index of first violation (NaN when none),1,nan,nan,,
Gemma 3 12B,TempEval-3,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),496,nan,nan,,
Gemma 3 12B,TempEval-3,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),496,-0.04892835468091328,0.2767768958531541,,
Llama 3.1 8B,TempEval-3,is_valid,Graph validity flag (binary),496,0.067755464767219,0.13183356397839616,0.067755464767219,0.13183356397839632
Llama 3.1 8B,TempEval-3,trace_grounded,Reasoning trace groundedness (binary),496,0.067755464767219,0.13183356397839616,0.067755464767219,0.13183356397839632
Llama 3.1 8B,TempEval-3,violation_count,Total structural violation count,496,-0.067755464767219,0.13183356397839616,,
Llama 3.1 8B,TempEval-3,first_violation_step,Step index of first violation (NaN when none),4,nan,nan,,
Llama 3.1 8B,TempEval-3,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),496,nan,nan,,
Llama 3.1 8B,TempEval-3,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),496,-0.067755464767219,0.13183356397839616,,
Mistral 7B,TempEval-3,is_valid,Graph validity flag (binary),496,-0.07255074461000338,0.1065638031791241,-0.07255074461000338,0.10656380317912438
Mistral 7B,TempEval-3,trace_grounded,Reasoning trace groundedness (binary),496,0.02207796577473877,0.6237668050044656,0.02207796577473878,0.6237668050044746
Mistral 7B,TempEval-3,violation_count,Total structural violation count,496,-0.022819137602507374,0.6121617684377789,,
Mistral 7B,TempEval-3,first_violation_step,Step index of first violation (NaN when none),99,0.1990690407173758,0.04822564799168091,,
Mistral 7B,TempEval-3,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),496,0.08981830160347071,0.04557114111507738,,
