run_id,model_label,model,family,size_bucket,reasoning_tuned,group,dataset_version,pred_source,num_tasks,num_failures,parse_success_count,repair_hit_count,repair_hit_rate,parse_success_rate,parse_success_ci_low,parse_success_ci_high,transport_failure_rate,conditional_validity_rate,conditional_validity_ci_low,conditional_validity_ci_high,conditional_trace_grounding_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,validity_rate,parsed_expected_valid_tasks,parsed_gold_bearing_tasks,direct_precision,direct_recall,direct_f1,direct_f1_ci_low,direct_f1_ci_high,direct_e2e_precision,direct_e2e_recall,direct_e2e_f1,direct_e2e_complete,closure_precision,closure_recall,closure_f1,closure_f1_ci_low,closure_f1_ci_high,closure_minus_direct_f1,closure_e2e_precision,closure_e2e_recall,closure_e2e_f1,closure_e2e_complete,fidelity_direct_precision,fidelity_direct_recall,fidelity_direct_f1,fidelity_direct_f1_ci_low,fidelity_direct_f1_ci_high,fidelity_closure_precision,fidelity_closure_recall,fidelity_closure_f1,fidelity_closure_f1_ci_low,fidelity_closure_f1_ci_high,fidelity_closure_gap,closure_coverage,fidelity_closure_f1_committed,fidelity_closure_f1_full,closure_preservation_rate,ambiguity_abstention_rate,ambiguity_overcommitment_rate,contradiction_detection_rate,contradiction_detection_rate_e2e,contradiction_invalidity_rate,avg_first_violation_step,screening_warning
2026-04-19_160821UTC,DeepSeek R1 7B,deepseek-r1:7b,deepseek,7b,True,lab_baseline,temporal_reasoning_eval,llm,150,34,116,0,0.0,0.7733333333333333,0.7066666666666667,0.8333333333333334,0.006666666666666667,0.9741379310344828,0.97,1.0,0.9396551724137931,0.8706896551724138,0.6733333333333333,0.7533333333333333,100,75,0.6909871244635193,0.5609756097560976,0.6192307692307693,0.5315904139433552,0.6914498141263942,0.6909871244635193,0.42592592592592593,0.5270049099836334,True,0.8264840182648402,0.7494824016563147,0.7861020629750272,0.6728323699421964,0.8761149653121902,0.1668712937442579,,,,False,0.7777777777777778,0.5609756097560976,0.6518218623481782,0.5791666666666666,0.7294117647058824,0.8557919621749409,0.7494824016563147,0.7991169977924946,0.7000000000000001,0.8976377952755905,0.14729513544431638,1.0,0.7991169977924946,0.7991169977924946,0.7,0.12,0.88,0.125,0.1,0.125,0.75,False
2026-04-19_163647UTC,Qwen 3.5 9B,qwen3.5:9b,qwen,9b,False,lab_baseline,temporal_reasoning_eval,llm,150,10,140,0,0.0,0.9333333333333333,0.8933333333333333,0.9733333333333334,0.06666666666666667,0.9,1.0,1.0,0.9571428571428572,0.9642857142857143,0.9,0.84,121,95,0.8248407643312102,0.74,0.780120481927711,0.7327731092436975,0.8293370944992948,0.8248407643312102,0.6851851851851852,0.7485549132947977,True,0.9562937062937062,0.9463667820069204,0.9513043478260869,0.9165848871442591,0.9758064516129032,0.17118386589837586,,,,False,0.8900343642611683,0.74,0.8081123244929797,0.7600644122383253,0.8503937007874016,0.957968476357268,0.9463667820069204,0.9521322889469104,0.917248255234297,0.9753846153846154,0.14401996445393073,1.0,0.9521322889469104,0.9521322889469104,0.8677685950413223,0.34615384615384615,0.6538461538461539,0.7368421052631579,0.7,0.7368421052631579,1,False
2026-04-19_192221UTC,Llama 3.1 8B,llama3.1:8b,llama,8b,False,lab_baseline,temporal_reasoning_eval,llm,150,0,150,0,0.0,1.0,1.0,1.0,0.0,0.8733333333333333,0.9769230769230769,1.0,0.96,0.98,0.98,0.8733333333333333,130,100,0.5921450151057401,0.5185185185185185,0.5528913963328631,0.4797768479776848,0.6164383561643836,0.5921450151057401,0.5185185185185185,0.5528913963328631,True,0.7278911564625851,0.6514459665144596,0.6875502008032129,0.5904173106646058,0.7724550898203593,0.13465880447034984,0.7278911564625851,0.6514459665144596,0.6875502008032129,True,0.6577181208053692,0.5185185185185185,0.5798816568047337,0.4993141289437586,0.6628733997155051,0.7711711711711712,0.6514459665144596,0.7062706270627063,0.5965233302836231,0.8124513618677043,0.12638897025797258,0.99,0.7187237615449201,0.7062706270627063,0.46923076923076923,0.0,1.0,0.9,0.9,0.9,1.12,False
2026-04-19_193445UTC,Mistral 7B,mistral:7b,mistral,7b,False,lab_candidate,temporal_reasoning_eval,llm,150,5,145,0,0.0,0.9666666666666667,0.9333333333333333,0.9933333333333333,0.0,0.8758620689655172,0.96,1.0,0.7793103448275862,0.9586206896551724,0.9266666666666666,0.8466666666666667,125,97,0.5151515151515151,0.27717391304347827,0.36042402826855124,0.2974683544303798,0.4253968253968254,0.5151515151515151,0.2698412698412698,0.3541666666666667,True,0.6394052044609665,0.273015873015873,0.38264738598442705,0.2867647058823529,0.4755077658303465,0.022223357715875802,,,,False,0.6107784431137725,0.27717391304347827,0.3813084112149533,0.31213872832369943,0.4465290806754221,0.7166666666666667,0.273015873015873,0.39540229885057465,0.3037974683544304,0.4922680412371133,0.01409388763562136,1.0,0.39540229885057465,0.39540229885057465,0.208,0.0,1.0,0.8,0.8,0.8,1,False
2026-04-19_194525UTC,Gemma 3 12B,gemma3:12b,gemma,12b,False,lab_candidate,temporal_reasoning_eval,llm,150,0,150,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.0,130,100,0.7589928057553957,0.5582010582010583,0.6432926829268294,0.569767441860465,0.7047353760445682,0.7589928057553957,0.5582010582010583,0.6432926829268294,True,0.8151986183074266,0.7184170471841704,0.7637540453074433,0.6444937176644494,0.8604651162790699,0.12046136238061389,0.8151986183074266,0.7184170471841704,0.7637540453074433,True,0.7814814814814814,0.5582010582010583,0.6512345679012346,0.5875,0.7131782945736435,0.8266199649737302,0.7184170471841704,0.768729641693811,0.6619718309859155,0.8633333333333333,0.1174950737925764,1.0,0.768729641693811,0.768729641693811,0.6538461538461539,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,,False
