run_id,model_label,model,family,size_bucket,reasoning_tuned,group,dataset_version,pred_source,num_tasks,num_failures,parse_success_count,repair_hit_count,repair_hit_rate,parse_success_rate,parse_success_ci_low,parse_success_ci_high,transport_failure_rate,conditional_validity_rate,conditional_validity_ci_low,conditional_validity_ci_high,conditional_trace_grounding_rate,validity_expectation_alignment_rate,validity_expectation_alignment_rate_e2e,validity_rate,parsed_expected_valid_tasks,parsed_gold_bearing_tasks,direct_precision,direct_recall,direct_f1,direct_f1_ci_low,direct_f1_ci_high,direct_e2e_precision,direct_e2e_recall,direct_e2e_f1,direct_e2e_complete,closure_precision,closure_recall,closure_f1,closure_f1_ci_low,closure_f1_ci_high,closure_minus_direct_f1,closure_e2e_precision,closure_e2e_recall,closure_e2e_f1,closure_e2e_complete,fidelity_direct_precision,fidelity_direct_recall,fidelity_direct_f1,fidelity_direct_f1_ci_low,fidelity_direct_f1_ci_high,fidelity_closure_precision,fidelity_closure_recall,fidelity_closure_f1,fidelity_closure_f1_ci_low,fidelity_closure_f1_ci_high,fidelity_closure_gap,closure_coverage,fidelity_closure_f1_committed,fidelity_closure_f1_full,closure_preservation_rate,ambiguity_abstention_rate,ambiguity_overcommitment_rate,contradiction_detection_rate,contradiction_detection_rate_e2e,contradiction_invalidity_rate,ltl_genuine_violation_rate,ltl_invariant_corroboration_rate,avg_first_violation_step,screening_warning
deepseek-r1-7b_2026-05-12_202518UTC,DeepSeek R1 7B,deepseek-r1:7b,deepseek,7b,True,lab_baseline,temporal_reasoning_eval,llm,250,56,194,0,0.0,0.776,0.716,0.828,0.004,0.9226804123711341,0.9459459459459459,0.9932432432432432,0.9432989690721649,0.7989690721649485,0.62,0.716,148,96,0.636085626911315,0.6265060240963856,0.6312594840667678,0.5553956834532374,0.6901615271659324,0.636085626911315,0.4279835390946502,0.5116851168511685,True,0.8298969072164949,0.8145025295109612,0.8221276595744682,0.735930735930736,0.8902654867256637,0.1908681755077004,0.8298969072164949,0.5482406356413166,0.6602870813397129,True,0.7619047619047619,0.6265060240963856,0.687603305785124,0.6123128119800333,0.7479674796747967,0.8655913978494624,0.8145025295109612,0.8392701998262381,0.7459562321598479,0.9024171888988363,0.1516668940411141,1.0,0.8392701998262381,0.8392701998262381,0.6824324324324325,0.19230769230769232,0.8076923076923077,0.2391304347826087,0.22,0.2391304347826087,0.03608247422680412,0.06701030927835051,0.6111111111111112,False
qwen3-5-9b_2026-05-12_212753UTC,Qwen 3.5 9B,qwen3.5:9b,qwen,9b,False,lab_baseline,temporal_reasoning_eval,llm,250,21,229,0,0.0,0.916,0.88,0.948,0.084,0.8122270742358079,0.9723756906077348,1.0,0.9737991266375546,0.9606986899563319,0.88,0.744,181,131,0.7795454545454545,0.7622222222222222,0.7707865168539326,0.7232558139534884,0.8112617309697603,0.7795454545454545,0.7057613168724279,0.7408207343412526,True,0.9384422110552764,0.9455696202531646,0.9419924337957126,0.9107692307692309,0.9634221946683199,0.17120591694178,0.9384422110552764,0.8479001135073779,0.8908765652951698,True,0.8909090909090909,0.7622222222222222,0.821556886227545,0.7781908302354398,0.8622620380739082,0.9589216944801027,0.9455696202531646,0.9521988527724666,0.9274783765801731,0.9742647058823529,0.13064196654492166,1.0,0.9521988527724666,0.9521988527724666,0.8342541436464088,0.18,0.82,0.8541666666666666,0.82,0.8541666666666666,0.18777292576419213,0.17903930131004367,0.09302325581395349,False
llama3-1-8b_2026-05-13_041908UTC,Llama 3.1 8B,llama3.1:8b,llama,8b,False,lab_baseline,temporal_reasoning_eval,llm,250,0,250,0,0.0,1.0,1.0,1.0,0.0,0.744,0.885,0.96,0.944,0.936,0.936,0.744,200,140,0.6084070796460177,0.565843621399177,0.5863539445628999,0.5207877461706784,0.6441393875395988,0.6084070796460177,0.565843621399177,0.5863539445628999,True,0.7348668280871671,0.6889897843359818,0.7111892208553017,0.61610268378063,0.789442815249267,0.12483527629240176,0.7348668280871671,0.6889897843359818,0.7111892208553017,True,0.7051282051282052,0.565843621399177,0.6278538812785388,0.5624270711785297,0.6866310160427808,0.7703045685279187,0.6889897843359818,0.7273816656680645,0.6409921671018276,0.8042526579111946,0.0995277843895257,0.9928571428571429,0.7317661241711875,0.7273816656680645,0.55,0.16666666666666666,0.8333333333333334,0.98,0.98,0.98,0.256,0.2,0.3230769230769231,False
mistral-7b_2026-05-13_043657UTC,Mistral 7B,mistral:7b,mistral,7b,False,lab_candidate,temporal_reasoning_eval,llm,250,5,245,0,0.0,0.98,0.96,0.996,0.0,0.6081632653061224,0.6615384615384615,0.7846153846153846,0.7591836734693878,0.746938775510204,0.732,0.596,195,136,0.4020618556701031,0.24476987447698745,0.30429128738621586,0.25768667642752563,0.3529411764705882,0.4020618556701031,0.24074074074074073,0.30115830115830117,True,0.4943181818181818,0.2002301495972382,0.28501228501228504,0.22670807453416147,0.3502304147465438,-0.01927900237393082,0.4943181818181818,0.19750283768444948,0.2822384428223844,True,0.5131578947368421,0.24476987447698745,0.3314447592067989,0.2812051649928264,0.38218390804597696,0.6041666666666666,0.2002301495972382,0.3007778738115817,0.2363162467419635,0.3646616541353384,-0.03066688539521717,0.9926470588235294,0.3023457862728062,0.3007778738115817,0.13846153846153847,0.0,1.0,0.8,0.8,0.84,0.37142857142857144,0.2,0.8076923076923077,False
gemma3-12b_2026-05-13_045357UTC,Gemma 3 12B,gemma3:12b,gemma,12b,False,lab_candidate,temporal_reasoning_eval,llm,250,0,250,0,0.0,1.0,1.0,1.0,0.0,0.992,0.975,1.0,1.0,0.792,0.792,0.992,200,140,0.7236024844720497,0.4794238683127572,0.5767326732673267,0.506426735218509,0.6341463414634146,0.7236024844720497,0.4794238683127572,0.5767326732673267,True,0.75,0.5107832009080591,0.6076975016880486,0.5043246839654025,0.7028112449799195,0.0309648284207219,0.75,0.5107832009080591,0.6076975016880486,True,0.7327044025157232,0.4794238683127572,0.5796019900497512,0.5208596713021492,0.6355828220858896,0.7550335570469798,0.5107832009080591,0.6093432633716994,0.5165289256198348,0.6940015186028854,0.029741273321948203,1.0,0.6093432633716994,0.6093432633716994,0.665,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,0.008,0.0,1,False
